ID Artículo	ID Sub-Categoria	Producto	 PrecioUnitario 	 CostoUnitario 
FUR-CH-10000891	SUB_CAT-20	Harbour Creations Executive Leather Armchair, Black	 $315,74 	 $236,82 
TEC-CAN-10003392	SUB_CAT-40	Canon Copy Machine, Color	 $263,58 	 $197,70 
TEC-CO-10001449	SUB_CAT-40	Hewlett Packard LaserJet 3310 Copier	 $599,99 	 $311,99 
FUR-BO-10001372	SUB_CAT-100	Safco Classic Bookcase, Pine	 $439,50 	 $408,75 
TEC-MOT-10002272	SUB_CAT-30	Motorola SmArte Phone, with Caller ID	 $645,54 	 $497,07 
TEC-CO-10004997	SUB_CAT-40	Hewlett Wireless Fax, Color	 $381,63 	 $198,45 
TEC-CO-10001766	SUB_CAT-40	Canon Fax Machine, Digital	 $384,01 	 $275,08 
FUR-TA-10000226	SUB_CAT-50	Chromcraft Conference Table, with Bottom Almacenamiento	 $872,67 	 $759,24 
OFF-AP-10002244	SUB_CAT-80	Breville Refrigerator, White	 $517,47 	 $336,36 
TEC-PH-10001459	SUB_CAT-30	Samsung Galaxy Mega 6.3	 $419,99 	 $310,79 
FUR-BO-10001073	SUB_CAT-100	Safco Classic Bookcase, Metal	 $437,61 	 $354,48 
TEC-MA-10000045	SUB_CAT-90	Zebra ZM400 Thermal Label Printer	 $1.160,95 	 $603,69 
TEC-PH-10002035	SUB_CAT-30	Samsung SmArte Phone, Cordless	 $639,00 	 $594,27 
TEC-PH-10002565	SUB_CAT-30	Apple Audio Dock, with Caller ID	 $166,89 	 $141,87 
OFF-AP-10002945	SUB_CAT-80	Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room	 $300,65 	 $201,44 
FUR-BO-10004999	SUB_CAT-100	Safco Classic Bookcase, Metal	 $437,61 	 $227,58 
FUR-TA-10001205	SUB_CAT-50	Chromcraft Wood Table, Rectangular	 $480,09 	 $316,86 
TEC-PH-10004196	SUB_CAT-30	Samsung SmArte Phone, Cordless	 $426,00 	 $396,18 
FUR-CHR-10001018	SUB_CAT-50	Chromcraft Round Table, Rectangular	 $464,67 	 $432,15 
FUR-CH-10003232	SUB_CAT-20	Harbour Creations Executive Leather Armchair, Adjustable	 $471,18 	 $320,43 
OFF-AP-10001630	SUB_CAT-80	Hamilton Beach Microwave, Black	 $187,96 	 $178,58 
FUR-HAR-10002873	SUB_CAT-20	Harbour Creations Executive Leather Armchair, Adjustable	 $476,10 	 $285,66 
FUR-TA-10000687	SUB_CAT-50	Bevis Conference Table, with Bottom Almacenamiento	 $923,76 	 $554,28 
TEC-PH-10004505	SUB_CAT-30	Nokia SmArte Phone, Full Size	 $637,35 	 $567,27 
TEC-PH-10002683	SUB_CAT-30	Apple SmArte Phone, Cordless	 $636,30 	 $400,89 
TEC-CO-10002269	SUB_CAT-40	Brother Ink, Color	 $148,74 	 $75,87 
TEC-CO-10002526	SUB_CAT-40	Sharp Wireless Fax, Digital	 $355,56 	 $224,01 
FUR-CH-10002891	SUB_CAT-20	Hon Executive Leather Armchair, Adjustable	 $454,71 	 $404,70 
TEC-CAN-10001437	SUB_CAT-40	Canon Wireless Fax, Laser	 $378,66 	 $193,14 
OFF-BI-10004995	SUB_CAT-60	GBC DocuBind P400 Electric Binding System	 $1.360,99 	 $734,93 
TEC-PH-10004327	SUB_CAT-30	Motorola SmArte Phone, Full Size	 $643,98 	 $450,81 
OFF-AP-10001621	SUB_CAT-80	Hamilton Beach Refrigerator, Black	 $391,60 	 $357,74 
OFF-HOO-10001881	SUB_CAT-80	Hoover Stove, White	 $566,61 	 $538,29 
TEC-CO-10001954	SUB_CAT-40	Brother Wireless Fax, Laser	 $378,81 	 $215,94 
FUR-BO-10003282	SUB_CAT-100	Ikea Classic Bookcase, Mobile	 $414,27 	 $281,73 
TEC-CO-10003102	SUB_CAT-40	Canon Copy Machine, Color	 $263,58 	 $263,58 
FUR-TA-10003392	SUB_CAT-50	Global Adaptabilities Conference Mesas	 $280,98 	 $227,59 
OFF-AP-10002552	SUB_CAT-80	Hamilton Beach Stove, White	 $540,48 	 $383,76 
TEC-MOT-10000554	SUB_CAT-30	Motorola SmArte Phone, Full Size	 $643,98 	 $450,81 
FUR-TA-10003627	SUB_CAT-50	Bevis Conference Table, with Bottom Almacenamiento	 $923,76 	 $554,28 
FUR-BO-10001133	SUB_CAT-100	Ikea Classic Bookcase, Mobile	 $414,27 	 $281,73 
TEC-MA-10003515	SUB_CAT-90	Panasonic Printer, Red	 $263,64 	 $224,10 
OFF-AP-10002904	SUB_CAT-80	Hamilton Beach Refrigerator, Silver	 $500,88 	 $445,80 
TEC-MOT-10003348	SUB_CAT-30	Motorola SmArte Phone, Full Size	 $642,69 	 $398,49 
TEC-PH-10001990	SUB_CAT-30	Cisco SmArte Phone, Full Size	 $652,68 	 $443,85 
TEC-PH-10002898	SUB_CAT-30	Samsung SmArte Phone, Full Size	 $637,44 	 $344,22 
TEC-CO-10001633	SUB_CAT-40	Sharp Fax Machine, High-Speed	 $293,85 	 $232,17 
TEC-PH-10002623	SUB_CAT-30	Cisco SmArte Phone, with Caller ID	 $654,24 	 $366,39 
FUR-TA-10004575	SUB_CAT-50	Hon 5100 Series Wood Mesas	 $290,98 	 $238,60 
FUR-BO-10001498	SUB_CAT-100	Dania Classic Bookcase, Pine	 $274,74 	 $173,10 
OFF-AP-10003598	SUB_CAT-80	Breville Refrigerator, Red	 $519,33 	 $373,92 
FUR-CH-10001582	SUB_CAT-20	Office Star Executive Leather Armchair, Black	 $467,43 	 $434,73 
TEC-MA-10001047	SUB_CAT-90	3D Systems Cube Printer, 2nd Generation, Magenta	 $1.299,99 	 $961,99 
TEC-PH-10000505	SUB_CAT-30	Apple SmArte Phone, with Caller ID	 $639,06 	 $517,65 
FUR-BO-10002003	SUB_CAT-100	Sauder Classic Bookcase, Metal	 $435,45 	 $370,14 
TEC-CO-10001775	SUB_CAT-40	Sharp Wireless Fax, Laser	 $355,92 	 $202,89 
OFF-AP-10000647	SUB_CAT-80	Hoover Refrigerator, White	 $524,40 	 $471,96 
TEC-MA-10004002	SUB_CAT-90	Zebra GX420t Direct Thermal/Thermal Transfer Printer	 $530,95 	 $376,97 
TEC-CO-10001926	SUB_CAT-40	Hewlett Wireless Fax, Laser	 $380,19 	 $262,35 
OFF-ST-10001496	SUB_CAT-110	Standard Rollaway File with Lock	 $180,19 	 $133,34 
FUR-CH-10002203	SUB_CAT-20	SAFCO Executive Leather Armchair, Black	 $459,00 	 $243,27 
FUR-BO-10001934	SUB_CAT-100	Bush Library with Doors, Metal	 $363,78 	 $334,68 
TEC-CO-10000562	SUB_CAT-40	HP Wireless Fax, Digital	 $359,85 	 $280,71 
TEC-MA-10001127	SUB_CAT-90	"HP Designjet T520 Inkjet Large Format Printer - 24"" Color"	 $1.269,44 	 $874,53 
OFF-BI-10000545	SUB_CAT-60	GBC Ibimaster 500 Manual ProClick Binding System	 $760,98 	 $380,49 
TEC-CO-10002035	SUB_CAT-40	Canon Wireless Fax, High-Speed	 $376,86 	 $346,74 
TEC-CO-10004099	SUB_CAT-40	Sharp Fax Machine, Digital	 $295,29 	 $295,29 
TEC-PH-10003002	SUB_CAT-30	Cisco SmArte Phone, Full Size	 $651,39 	 $547,17 
FUR-TA-10001932	SUB_CAT-50	"Chromcraft 48"" x 96"" Racetrack Double Pedestal Table"	 $320,64 	 $250,10 
TEC-CO-10004722	SUB_CAT-40	Canon imageCLASS 2200 Advanced Copier	 $3.499,99 	 $1.819,99 
FUR-CH-10000749	SUB_CAT-20	Office Star - Ergonomic Mid Back Chair with 2-Way Adjustable Arms	 $180,98 	 $152,02 
TEC-CO-10004398	SUB_CAT-40	Brother Copy Machine, Color	 $173,66 	 $100,74 
TEC-CO-10004535	SUB_CAT-40	Hewlett Fax Machine, High-Speed	 $318,12 	 $203,61 
TEC-AC-10000420	SUB_CAT-10	Belkin Router, USB	 $164,48 	 $95,61 
FUR-BO-10001212	SUB_CAT-100	Safco Classic Bookcase, Mobile	 $440,67 	 $392,22 
TEC-PH-10001670	SUB_CAT-30	Motorola SmArte Phone, Full Size	 $643,98 	 $399,27 
FUR-CH-10001215	SUB_CAT-20	Global Troy Executive Leather Low-Back Tilter	 $500,98 	 $375,74 
FUR-BO-10004679	SUB_CAT-100	Safco Library with Doors, Pine	 $391,14 	 $348,12 
OFF-AP-10001776	SUB_CAT-80	Hoover Refrigerator, Red	 $327,44 	 $246,99 
TEC-MA-10003704	SUB_CAT-90	StArteech Printer, Wireless	 $256,17 	 $163,95 
FUR-CH-10001854	SUB_CAT-20	Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat	 $350,98 	 $266,74 
TEC-MA-10000984	SUB_CAT-90	Okidata MB760 Printer	 $1.399,00 	 $993,29 
TEC-AC-10000376	SUB_CAT-10	Memorex Router, Bluetooth	 $164,14 	 $93,56 
TEC-CO-10003800	SUB_CAT-40	Hewlett Wireless Fax, Color	 $381,63 	 $305,31 
TEC-SAM-10004230	SUB_CAT-30	Samsung SmArte Phone, Cordless	 $639,00 	 $594,27 
FUR-CH-10002320	SUB_CAT-20	Hon Pagoda Stacking Sillas	 $320,98 	 $224,69 
OFF-AP-10002312	SUB_CAT-80	KitchenAid Refrigerator, Black	 $527,37 	 $411,36 
TEC-PH-10000169	SUB_CAT-30	Apple SmArte Phone, with Caller ID	 $347,61 	 $187,30 
FUR-CH-10000595	SUB_CAT-20	Safco Contoured Stacking Sillas	 $238,40 	 $178,80 
FUR-BO-10000288	SUB_CAT-100	Safco Classic Bookcase, Traditional	 $438,15 	 $425,01 
TEC-AC-10000866	SUB_CAT-10	Belkin Router, Erganomic	 $256,56 	 $212,97 
OFF-AP-10001623	SUB_CAT-80	Hoover Stove, White	 $566,61 	 $538,29 
FUR-BO-10003541	SUB_CAT-100	Bush Classic Bookcase, Metal	 $412,14 	 $272,04 
TEC-CO-10004365	SUB_CAT-40	HP Wireless Fax, Color	 $361,65 	 $358,05 
TEC-MA-10000822	SUB_CAT-90	Lexmark MX611dhe Monochrome Laser Printer	 $1.699,99 	 $1.189,99 
TEC-PH-10000800	SUB_CAT-30	Cisco SmArte Phone, Full Size	 $652,68 	 $483,00 
FUR-BO-10004834	SUB_CAT-100	Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish	 $644,44 	 $501,94 
FUR-TA-10001642	SUB_CAT-50	Lesro Round Table, Rectangular	 $299,72 	 $236,78 
OFF-AP-10001041	SUB_CAT-80	Hoover Stove, White	 $377,74 	 $200,22 
OFF-AP-10002090	SUB_CAT-80	Hamilton Beach Refrigerator, Red	 $500,13 	 $320,10 
OFF-AP-10002330	SUB_CAT-80	Hamilton Beach Stove, Silver	 $543,09 	 $336,72 
TEC-CIS-10002344	SUB_CAT-30	Cisco SmArte Phone, Full Size	 $651,39 	 $508,11 
FUR-TA-10002153	SUB_CAT-50	Lesro Round Table, with Bottom Almacenamiento	 $452,01 	 $348,06 
OFF-AP-10004964	SUB_CAT-80	Hoover Stove, White	 $566,61 	 $413,64 
TEC-AC-10003832	SUB_CAT-10	Imation 16GB Mini TravelDrive USB 2.0 Flash Drive	 $122,87 	 $95,15 
FUR-CH-10002061	SUB_CAT-20	Harbour Creations Executive Leather Armchair, Red	 $475,86 	 $361,68 
TEC-PH-10002759	SUB_CAT-30	Cisco SmArte Phone, Cordless	 $651,48 	 $390,90 
TEC-PH-10001699	SUB_CAT-30	Samsung SmArte Phone, Full Size	 $637,44 	 $529,08 
TEC-MA-10000418	SUB_CAT-90	Cubify CubeX 3D Printer Double Head Print	 $2.999,99 	 $2.219,99 
TEC-PH-10001494	SUB_CAT-30	Polycom CX600 IP Phone VoIP phone	 $299,95 	 $218,96 
FUR-BO-10000490	SUB_CAT-100	Bush Library with Doors, Metal	 $363,78 	 $309,24 
TEC-PH-10000018	SUB_CAT-30	Nokia SmArte Phone, Full Size	 $424,90 	 $327,18 
FUR-HON-10003533	SUB_CAT-20	Hon Executive Leather Armchair, Adjustable	 $459,63 	 $335,55 
TEC-AC-10001949	SUB_CAT-10	Enermax Router, Bluetooth	 $258,33 	 $235,11 
OFF-HOO-10004910	SUB_CAT-80	Hoover Refrigerator, White	 $524,40 	 $419,52 
TEC-MA-10001335	SUB_CAT-90	Epson Printer, Durable	 $262,74 	 $162,90 
FUR-TA-10000347	SUB_CAT-50	Hon Computer Table, Adjustable Height	 $489,81 	 $426,15 
TEC-PH-10000493	SUB_CAT-30	Apple SmArte Phone, Full Size	 $637,50 	 $459,00 
FUR-TA-10003596	SUB_CAT-50	Lesro Computer Table, Adjustable Height	 $425,91 	 $264,09 
FUR-TA-10003179	SUB_CAT-50	Chromcraft Round Table, Adjustable Height	 $469,16 	 $317,48 
TEC-PH-10001396	SUB_CAT-30	Nokia SmArte Phone, Cordless	 $636,15 	 $432,60 
FUR-TA-10003078	SUB_CAT-50	Hon Training Table, Fully Assembled	 $334,17 	 $200,52 
FUR-CH-10003581	SUB_CAT-20	Hon Executive Leather Armchair, Adjustable	 $454,71 	 $291,03 
FUR-TA-10000184	SUB_CAT-50	Barricks Conference Table, Fully Assembled	 $908,55 	 $563,31 
OFF-AP-10001956	SUB_CAT-80	Breville Refrigerator, Black	 $518,76 	 $295,71 
TEC-PH-10002200	SUB_CAT-30	Aastra 6757i CT Wireless VoIP phone	 $296,96 	 $212,37 
OFF-AP-10003382	SUB_CAT-80	Breville Stove, White	 $559,68 	 $436,56 
OFF-ST-10002011	SUB_CAT-110	Smead Adjustable Mobile File Trolley with Lockable Top	 $419,19 	 $306,01 
OFF-AP-10003917	SUB_CAT-80	KitchenAid Stove, Silver	 $570,90 	 $331,14 
OFF-ST-10002900	SUB_CAT-110	Smead Lockers, Wire Frame	 $197,49 	 $179,73 
TEC-CO-10003819	SUB_CAT-40	Sharp Copy Machine, High-Speed	 $239,40 	 $239,40 
OFF-AP-10000675	SUB_CAT-80	Hamilton Beach Stove, White	 $540,48 	 $470,22 
FUR-BO-10003404	SUB_CAT-100	Global Adaptabilites Bookcase, Cherry/Storm Gray Finish	 $430,98 	 $405,12 
OFF-AP-10001824	SUB_CAT-80	Hamilton Beach Blender, Silver	 $234,79 	 $203,75 
OFF-SME-10000746	SUB_CAT-110	Smead Lockers, Industrial	 $198,90 	 $143,22 
TEC-MA-10003673	SUB_CAT-90	Hewlett-Packard Desktjet 6988DT Refurbished Printer	 $680,90 	 $347,26 
OFF-ST-10001490	SUB_CAT-110	Hot File 7-Pocket, Floor Stand	 $178,47 	 $124,93 
TEC-PH-10001578	SUB_CAT-30	Polycom SoundStation2 EX Conference phone	 $404,95 	 $287,51 
TEC-CO-10000208	SUB_CAT-40	Brother Wireless Fax, Color	 $380,25 	 $380,25 
FUR-CH-10003312	SUB_CAT-20	Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Sillas	 $225,70 	 $185,20 
TEC-EPS-10000053	SUB_CAT-90	Epson Receipt Printer, Red	 $114,18 	 $57,09 
OFF-ST-10004060	SUB_CAT-110	Eldon Lockers, Single Width	 $201,70 	 $107,85 
TEC-PH-10000303	SUB_CAT-30	Samsung SmArte Phone, VoIP	 $636,24 	 $369,03 
FUR-BO-10002708	SUB_CAT-100	Dania Library with Doors, Pine	 $363,75 	 $323,76 
FUR-BO-10000210	SUB_CAT-100	Ikea Library with Doors, Pine	 $364,74 	 $255,33 
FUR-BO-10001192	SUB_CAT-100	Bush Library with Doors, Mobile	 $366,84 	 $209,10 
FUR-SAU-10002255	SUB_CAT-100	Sauder Classic Bookcase, Pine	 $437,34 	 $363,00 
FUR-CH-10000974	SUB_CAT-20	Harbour Creations Executive Leather Armchair, Black	 $473,61 	 $331,53 
OFF-AP-10003866	SUB_CAT-80	Breville Microwave, Red	 $301,71 	 $202,17 
FUR-CH-10003616	SUB_CAT-20	Novimex Executive Leather Armchair, Adjustable	 $460,44 	 $262,47 
FUR-CH-10000479	SUB_CAT-20	Harbour Creations Executive Leather Armchair, Adjustable	 $471,18 	 $240,33 
TEC-CO-10001046	SUB_CAT-40	Canon Imageclass D680 Copier / Fax	 $699,99 	 $384,99 
OFF-HOO-10000318	SUB_CAT-80	Hoover Microwave, Silver	 $309,39 	 $157,80 
TEC-NOK-10001283	SUB_CAT-30	Nokia SmArte Phone, Full Size	 $637,35 	 $567,27 
OFF-AP-10000407	SUB_CAT-80	KitchenAid Refrigerator, Silver	 $352,46 	 $257,30 
OFF-BI-10001359	SUB_CAT-60	GBC DocuBind TL300 Electric Binding System	 $896,99 	 $475,40 
FUR-CH-10002335	SUB_CAT-20	Hon GuestStacker Chair	 $148,38 	 $104,26 
TEC-MA-10001148	SUB_CAT-90	Swingline SM12-08 MicroCut Jam Free Shredder	 $439,59 	 $275,30 
FUR-BAR-10004434	SUB_CAT-50	Barricks Wood Table, Rectangular	 $514,50 	 $277,83 
FUR-BO-10002444	SUB_CAT-100	Sauder Library with Doors, Mobile	 $390,15 	 $261,42 
FUR-BO-10004709	SUB_CAT-100	Bush Westfield Collection Estanterías, Medium Cherry Finish	 $159,71 	 $92,64 
TEC-MA-10004772	SUB_CAT-90	Konica Inkjet, White	 $310,59 	 $192,57 
FUR-BAR-10003532	SUB_CAT-50	Barricks Conference Table, Rectangular	 $904,65 	 $615,18 
TEC-CO-10002911	SUB_CAT-40	Hewlett Wireless Fax, Laser	 $380,19 	 $307,98 
FUR-TA-10001705	SUB_CAT-50	Bush Advantage Collection Round Conference Table	 $212,60 	 $167,95 
FUR-SAU-10004653	SUB_CAT-100	Sauder Classic Bookcase, Traditional	 $435,99 	 $257,25 
TEC-NOK-10004339	SUB_CAT-30	Nokia SmArte Phone, Cordless	 $636,15 	 $432,60 
FUR-TA-10000022	SUB_CAT-50	Hon Conference Table, Adjustable Height	 $923,67 	 $702,00 
FUR-CH-10000843	SUB_CAT-20	SAFCO Executive Leather Armchair, Set of Two	 $309,12 	 $281,30 
OFF-AP-10002681	SUB_CAT-80	Hamilton Beach Stove, Black	 $361,18 	 $335,90 
TEC-AC-10002049	SUB_CAT-10	Logitech G19 Programmable Gaming Keyboard	 $198,48 	 $135,33 
OFF-BI-10003925	SUB_CAT-60	Fellowes PB300 Plastic Comb Binding Machine	 $387,99 	 $205,63 
OFF-AP-10004627	SUB_CAT-80	Hamilton Beach Stove, Silver	 $362,06 	 $351,20 
TEC-PH-10001076	SUB_CAT-30	Nokia SmArte Phone, Cordless	 $424,10 	 $402,90 
TEC-PH-10001457	SUB_CAT-30	Apple SmArte Phone, Full Size	 $637,50 	 $567,39 
TEC-MA-10004534	SUB_CAT-90	Konica Printer, Wireless	 $267,84 	 $259,83 
FUR-BO-10003991	SUB_CAT-100	Bush Classic Bookcase, Traditional	 $412,68 	 $243,51 
OFF-AP-10002793	SUB_CAT-80	KitchenAid Stove, Black	 $569,58 	 $427,20 
FUR-CH-10002093	SUB_CAT-20	Harbour Creations Rocking Chair, Adjustable	 $99,72 	 $63,84 
FUR-BO-10003103	SUB_CAT-100	Dania Floating Shelf Set, Pine	 $262,50 	 $212,64 
TEC-CO-10001818	SUB_CAT-40	Brother Ink, Digital	 $167,50 	 $162,90 
TEC-CO-10002040	SUB_CAT-40	Brother Fax Machine, Digital	 $286,40 	 $168,04 
TEC-CO-10001654	SUB_CAT-40	Hewlett Wireless Fax, Digital	 $379,83 	 $224,10 
OFF-AP-10002397	SUB_CAT-80	Breville Microwave, White	 $299,85 	 $200,91 
TEC-CAN-10001853	SUB_CAT-40	Canon Fax Machine, High-Speed	 $316,59 	 $278,61 
FUR-CH-10001207	SUB_CAT-20	Hon Executive Leather Armchair, Red	 $459,39 	 $390,51 
TEC-PH-10002597	SUB_CAT-30	Apple Signal Booster, with Caller ID	 $131,32 	 $109,44 
TEC-CO-10002617	SUB_CAT-40	Brother Fax Machine, High-Speed	 $211,16 	 $122,48 
TEC-CO-10000556	SUB_CAT-40	HP Wireless Fax, Laser	 $360,21 	 $338,61 
OFF-AP-10000275	SUB_CAT-80	Sanyo Counter Height Refrigerator with Crisper, 3.6 Cubic Foot, Stainless Steel/Black	 $328,14 	 $236,26 
TEC-HEW-10003460	SUB_CAT-40	Hewlett Fax and Copier, Color	 $194,31 	 $151,59 
TEC-PH-10002672	SUB_CAT-30	Cisco SmArte Phone, Full Size	 $434,26 	 $356,10 
TEC-PH-10000106	SUB_CAT-30	Apple SmArte Phone, Full Size	 $425,00 	 $365,50 
OFF-AP-10003057	SUB_CAT-80	Honeywell Enviracaire Portable HEPA Air Cleaner for 16' x 20' Room	 $275,37 	 $167,98 
TEC-CO-10002095	SUB_CAT-40	Hewlett Packard 610 Color Digital Copier / Printer	 $499,99 	 $274,99 
TEC-SAM-10000345	SUB_CAT-30	Samsung Audio Dock, with Caller ID	 $166,83 	 $161,85 
TEC-CIS-10002259	SUB_CAT-30	Cisco SmArte Phone, Cordless	 $651,48 	 $390,90 
OFF-AP-10004350	SUB_CAT-80	KitchenAid Refrigerator, Red	 $527,94 	 $374,85 
OFF-HOO-10000335	SUB_CAT-80	Hoover Microwave, White	 $306,78 	 $223,95 
FUR-BO-10004129	SUB_CAT-100	Sauder Classic Bookcase, Pine	 $437,34 	 $363,00 
OFF-ST-10004597	SUB_CAT-110	Eldon File CArte, Industrial	 $96,34 	 $73,57 
FUR-CH-10001664	SUB_CAT-20	Novimex Swivel Stool, Black	 $162,03 	 $126,39 
OFF-AP-10003240	SUB_CAT-80	Breville Stove, Black	 $560,97 	 $398,31 
FUR-TA-10000136	SUB_CAT-50	Chromcraft Conference Table, Adjustable Height	 $583,24 	 $396,62 
FUR-BO-10002866	SUB_CAT-100	Safco Classic Bookcase, Pine	 $439,50 	 $408,75 
OFF-ST-10004459	SUB_CAT-110	Tennsco Single-Tier Lockers	 $375,34 	 $356,57 
FUR-TA-10001276	SUB_CAT-50	Lesro Coffee Table, with Bottom Almacenamiento	 $216,09 	 $142,08 
TEC-MA-10002178	SUB_CAT-90	Cisco CP-7937G Unified IP Conference Station Phone	 $695,70 	 $361,76 
TEC-APP-10002966	SUB_CAT-30	Apple SmArte Phone, Full Size	 $637,50 	 $459,00 
FUR-CH-10000685	SUB_CAT-20	Hon Executive Leather Armchair, Black	 $457,14 	 $288,00 
FUR-BO-10001541	SUB_CAT-100	Bush Stackable Bookrack, Traditional	 $122,97 	 $113,16 
TEC-CO-10003931	SUB_CAT-40	Hewlett Fax Machine, High-Speed	 $212,08 	 $212,08 
FUR-BO-10001553	SUB_CAT-100	Sauder Library with Doors, Traditional	 $387,63 	 $383,76 
OFF-ST-10004748	SUB_CAT-110	Smead Lockers, Blue	 $198,42 	 $168,66 
OFF-AP-10000540	SUB_CAT-80	Hamilton Beach Refrigerator, Red	 $500,13 	 $455,13 
TEC-CO-10004567	SUB_CAT-40	Brother Fax Machine, Color	 $319,98 	 $176,01 
